file,IoU,Dice,IoU@50,IoU@75,mAP@50-95
103_jpeg.rf.450f333b0daec838be8239921334d6ef,0.7815120390638155,0.8773581339079808,0.7815120390638155,0.7815120390638155,0.4689072234382893
109_jpeg.rf.42dcf45f2319afcbe5a92dc9b017efc3,0.6011631779867285,0.7509080726458117,0.6011631779867285,0.0,0.18034895339601853
113_jpeg.rf.d72d384741859ef566267ae11f2301b0,0.5343875421415958,0.6965483327578811,0.5343875421415958,0.0,0.05343875421415958
117_jpeg.rf.f307d7b80f4cfa53442d7ed6605b414e,0.5048629531388152,0.6709753231492362,0.5048629531388152,0.0,0.050486295313881525
153_jpg.rf.b0c0fcca066d521ba700557078b0fee6,0.0063387721563563796,0.012597690423422372,0.0,0.0,0.0
155_jpeg.rf.8dcf58edbe54faac429dc26cd2a027b2,0.7666325417695432,0.8679026607328851,0.7666325417695432,0.7666325417695432,0.4599795250617259
157_jpeg.rf.e161786185ea50ca4853440b1caa303a,0.2911268797604323,0.45096556244642766,0.0,0.0,0.0
172_jpeg.rf.684e9960d8f3cb6588fac9ff5c6918c5,0.6205431844510233,0.765845909451946,0.6205431844510233,0.0,0.18616295533530697
185_jpeg.rf.a744105f063ee133e9af483a0b85628a,0.6063952850182807,0.7549764253838431,0.6063952850182807,0.0,0.1819185855054842
191_jpg.rf.170aaec8b9b57c3fab678ee301265dfc,0.9027964577037956,0.9489154281832619,0.9027964577037956,0.9027964577037956,0.8125168119334161
214_jpeg.rf.e09c04cf9048d65959c3123a51803650,0.5740855301231267,0.7294210119296645,0.5740855301231267,0.0,0.11481710602462533
219_jpg.rf.563992bfac9e574cc415e3ed44262b7a,0.6514955537590946,0.7889764550394047,0.6514955537590946,0.0,0.2605982215036379
223_jpeg.rf.8ce0c3bbd61a0e8cbd0acee93cf80aa4,0.5934889080956497,0.7448924245163623,0.5934889080956497,0.0,0.11869778161912994
244_jpg.rf.b134a1ed1ba1ab1efa9d8c2c3d6c715c,0.25590093085106386,0.40751770233604656,0.0,0.0,0.0
267_jpeg.rf.9a742ffa32be6c547f83e8cf4d3a9628,0.41294547928893427,0.5845172164700216,0.0,0.0,0.0
278_jpg.rf.d01f04f3eb121aea47707f48e5377ade,0.4413243922883487,0.6123873218959,0.0,0.0,0.0
28_jpg.rf.b65189e47ee656c3bbf3244f3d37935b,0.025693430656934305,0.05009962994591517,0.0,0.0,0.0
290_jpeg.rf.5d017d61acf57860bd4bd8d75fa8f7a5,0.6437838643932992,0.7832950284262732,0.6437838643932992,0.0,0.19313515931798975
295_jpeg.rf.4bb9c05a9b10d10957779512f56c7f0c,0.4641389834487616,0.6340094604345387,0.0,0.0,0.0
311_jpeg.rf.d4eb78bd8e75a90acb0afc78b03cae4c,0.2062393684662516,0.34195429838853214,0.0,0.0,0.0
5524300-PPT_jpg.rf.3781d733f6f3b5aa0730bf8f59788f68,0.7637371338083927,0.8660441731010954,0.7637371338083927,0.7637371338083927,0.4582422802850356
5539877-PPT_jpg.rf.37d16bf9846f6c8d378e8053bce9b80b,0.8245406046235921,0.9038336582196231,0.8245406046235921,0.8245406046235921,0.5771784232365145
96_jpg.rf.e9a2bc5bd47197be0f22897c6a34f3ff,0.8118494385049031,0.8961555207090748,0.8118494385049031,0.8118494385049031,0.5682946069534321
ugr_zoo1_png.rf.421a36bc9bf130f6f5b8e751421d3b1a,0.2556036509639847,0.4071406622109549,0.0,0.0,0.0
web24_jpg.rf.2f48274640725fc910900ad889f1ff2d,0.7645623945418532,0.866574508112378,0.7645623945418532,0.7645623945418532,0.4587374367251119
web25_jpg.rf.f8eb6bafdc6f15b158422c2402a01fd7,0.7371581113200184,0.8486943203573708,0.7371581113200184,0.0,0.3685790556600092
web27_png.rf.c331a77fae41b3fdd8fe8770884680b2,0.7192501687914532,0.836702164522165,0.7192501687914532,0.0,0.3596250843957266
