file,IoU,Dice,IoU@50,IoU@75,mAP@50-95
103_jpeg.rf.450f333b0daec838be8239921334d6ef,0.8424704073239638,0.9145008831350323,0.8424704073239638,0.8424704073239638,0.5897292851267746
109_jpeg.rf.42dcf45f2319afcbe5a92dc9b017efc3,0.6300741493673195,0.773061948883577,0.6300741493673195,0.0,0.18902224481019586
113_jpeg.rf.d72d384741859ef566267ae11f2301b0,0.6496713995943205,0.7876373437207975,0.6496713995943205,0.0,0.19490141987829618
117_jpeg.rf.f307d7b80f4cfa53442d7ed6605b414e,0.548754192620987,0.7086394926135046,0.548754192620987,0.0,0.0548754192620987
153_jpg.rf.b0c0fcca066d521ba700557078b0fee6,0.016831320892791803,0.03310543360921195,0.0,0.0,0.0
155_jpeg.rf.8dcf58edbe54faac429dc26cd2a027b2,0.829273807321535,0.9066699626949526,0.829273807321535,0.829273807321535,0.5804916651250744
157_jpeg.rf.e161786185ea50ca4853440b1caa303a,0.5305827209073549,0.6933081285444235,0.5305827209073549,0.0,0.05305827209073549
172_jpeg.rf.684e9960d8f3cb6588fac9ff5c6918c5,0.7436093678248891,0.8529540865595646,0.7436093678248891,0.0,0.37180468391244453
185_jpeg.rf.a744105f063ee133e9af483a0b85628a,0.6755603180463382,0.8063694404436896,0.6755603180463382,0.0,0.2702241272185353
191_jpg.rf.170aaec8b9b57c3fab678ee301265dfc,0.904860256129975,0.9500542133923691,0.904860256129975,0.904860256129975,0.8143742305169775
214_jpeg.rf.e09c04cf9048d65959c3123a51803650,0.6170524048523764,0.763181703945715,0.6170524048523764,0.0,0.18511572145571292
219_jpg.rf.563992bfac9e574cc415e3ed44262b7a,0.7104736315262631,0.8307332173163107,0.7104736315262631,0.0,0.35523681576313154
223_jpeg.rf.8ce0c3bbd61a0e8cbd0acee93cf80aa4,0.6300448430493274,0.7730398899587345,0.6300448430493274,0.0,0.1890134529147982
244_jpg.rf.b134a1ed1ba1ab1efa9d8c2c3d6c715c,0.29130180969060127,0.4511754068716094,0.0,0.0,0.0
267_jpeg.rf.9a742ffa32be6c547f83e8cf4d3a9628,0.2716322734921619,0.42721827552583924,0.0,0.0,0.0
278_jpg.rf.d01f04f3eb121aea47707f48e5377ade,0.46078266711454485,0.6308709399252659,0.0,0.0,0.0
28_jpg.rf.b65189e47ee656c3bbf3244f3d37935b,0.07752840121917429,0.1439004320098745,0.0,0.0,0.0
290_jpeg.rf.5d017d61acf57860bd4bd8d75fa8f7a5,0.6701568154402895,0.8025076558617901,0.6701568154402895,0.0,0.2680627261761158
295_jpeg.rf.4bb9c05a9b10d10957779512f56c7f0c,0.5874630396215257,0.7401281478170169,0.5874630396215257,0.0,0.11749260792430513
311_jpeg.rf.d4eb78bd8e75a90acb0afc78b03cae4c,0.556455573718818,0.7150291766944383,0.556455573718818,0.0,0.1112911147437636
5524300-PPT_jpg.rf.3781d733f6f3b5aa0730bf8f59788f68,0.8544751009421265,0.9215277147781911,0.8544751009421265,0.8544751009421265,0.6835800807537012
5539877-PPT_jpg.rf.37d16bf9846f6c8d378e8053bce9b80b,0.8152219873150106,0.898206382483112,0.8152219873150106,0.8152219873150106,0.5706553911205074
96_jpg.rf.e9a2bc5bd47197be0f22897c6a34f3ff,0.8285111767186841,0.9062139594962403,0.8285111767186841,0.8285111767186841,0.5799578237030789
ugr_zoo1_png.rf.421a36bc9bf130f6f5b8e751421d3b1a,0.4099968156013572,0.5815570802214832,0.0,0.0,0.0
web24_jpg.rf.2f48274640725fc910900ad889f1ff2d,0.8546476244573377,0.9216280367084869,0.8546476244573377,0.8546476244573377,0.6837180995658702
web25_jpg.rf.f8eb6bafdc6f15b158422c2402a01fd7,0.6993928781828893,0.8231091081548246,0.6993928781828893,0.0,0.2797571512731557
web27_png.rf.c331a77fae41b3fdd8fe8770884680b2,0.8102076016707882,0.8951543468527936,0.8102076016707882,0.8102076016707882,0.5671453211695517
