file,IoU,Dice,IoU@50,IoU@75,mAP@50-95
103_jpeg.rf.450f333b0daec838be8239921334d6ef,0.800285881835508,0.8890653311345915,0.800285881835508,0.800285881835508,0.5602001172848556
109_jpeg.rf.42dcf45f2319afcbe5a92dc9b017efc3,0.5866123619831132,0.7394526552785761,0.5866123619831132,0.0,0.11732247239662263
113_jpeg.rf.d72d384741859ef566267ae11f2301b0,0.5753725518668433,0.7304590284818877,0.5753725518668433,0.0,0.11507451037336866
117_jpeg.rf.f307d7b80f4cfa53442d7ed6605b414e,0.4873788595898129,0.6553526782331995,0.0,0.0,0.0
153_jpg.rf.b0c0fcca066d521ba700557078b0fee6,0.016285858519347687,0.032049759194868584,0.0,0.0,0.0
155_jpeg.rf.8dcf58edbe54faac429dc26cd2a027b2,0.7835432216722581,0.8786366510788614,0.7835432216722581,0.7835432216722581,0.4701259330033548
157_jpeg.rf.e161786185ea50ca4853440b1caa303a,0.5388580226253431,0.7003349427987299,0.5388580226253431,0.0,0.05388580226253431
172_jpeg.rf.684e9960d8f3cb6588fac9ff5c6918c5,0.7917199488491049,0.8837541261486306,0.7917199488491049,0.7917199488491049,0.475031969309463
185_jpeg.rf.a744105f063ee133e9af483a0b85628a,0.6559721391901766,0.7922502120246636,0.6559721391901766,0.0,0.2623888556760706
191_jpg.rf.170aaec8b9b57c3fab678ee301265dfc,0.8589052287581699,0.9240979211532545,0.8589052287581699,0.8589052287581699,0.6871241830065359
214_jpeg.rf.e09c04cf9048d65959c3123a51803650,0.7373550696443857,0.8488248401581063,0.7373550696443857,0.0,0.36867753482219284
219_jpg.rf.563992bfac9e574cc415e3ed44262b7a,0.7055291250870271,0.8273433912200432,0.7055291250870271,0.0,0.35276456254351357
223_jpeg.rf.8ce0c3bbd61a0e8cbd0acee93cf80aa4,0.6337543053960965,0.7758257203092059,0.6337543053960965,0.0,0.19012629161882894
244_jpg.rf.b134a1ed1ba1ab1efa9d8c2c3d6c715c,0.3458719551627506,0.5139745335148554,0.0,0.0,0.0
267_jpeg.rf.9a742ffa32be6c547f83e8cf4d3a9628,0.28324819446890964,0.4414550446122169,0.0,0.0,0.0
278_jpg.rf.d01f04f3eb121aea47707f48e5377ade,0.5030564184788054,0.6693779585305687,0.5030564184788054,0.0,0.05030564184788054
28_jpg.rf.b65189e47ee656c3bbf3244f3d37935b,0.07917948717948718,0.14674016346702148,0.0,0.0,0.0
290_jpeg.rf.5d017d61acf57860bd4bd8d75fa8f7a5,0.6940623951694063,0.8194059405940594,0.6940623951694063,0.0,0.2776249580677625
295_jpeg.rf.4bb9c05a9b10d10957779512f56c7f0c,0.4619268834578873,0.6319425255595469,0.0,0.0,0.0
311_jpeg.rf.d4eb78bd8e75a90acb0afc78b03cae4c,0.4487945584893534,0.6195420266587803,0.0,0.0,0.0
5524300-PPT_jpg.rf.3781d733f6f3b5aa0730bf8f59788f68,0.8371478873239436,0.9113560134163872,0.8371478873239436,0.8371478873239436,0.5860035211267606
5539877-PPT_jpg.rf.37d16bf9846f6c8d378e8053bce9b80b,0.8338235294117647,0.909382518043304,0.8338235294117647,0.8338235294117647,0.5836764705882354
96_jpg.rf.e9a2bc5bd47197be0f22897c6a34f3ff,0.8274700310598866,0.9055908080527862,0.8274700310598866,0.8274700310598866,0.5792290217419206
ugr_zoo1_png.rf.421a36bc9bf130f6f5b8e751421d3b1a,0.3464822575914042,0.5146480848714544,0.0,0.0,0.0
web24_jpg.rf.2f48274640725fc910900ad889f1ff2d,0.8007983874155171,0.8893815021289672,0.8007983874155171,0.8007983874155171,0.560558871190862
web25_jpg.rf.f8eb6bafdc6f15b158422c2402a01fd7,0.7259029892056463,0.8411863166651632,0.7259029892056463,0.0,0.36295149460282317
web27_png.rf.c331a77fae41b3fdd8fe8770884680b2,0.8176985752254804,0.899707560285728,0.8176985752254804,0.8176985752254804,0.5723890026578362
